"close","zamknij"
"Product Id:","Id produktu:"
"Product Id","Id produktu"
"use only for product redirects","używane tylko dla przekierowań produktu"
"Category Id:","Id kategorii:"
"Category Id","Id kategorii"
"use only for category redirects","używane tylko dla przekierowań kategorii"
"Target Path:","Ścieżka docelowa"
"use only for custom redirects","używana tylko dla własnych przekierowań"
"Save redirect","Zapisz przekierowanie"
"Error while saving data... check logs for more informations","Błąd przy zapisie danych... sprawdź logi aby uzyskać więcej informacji"
"Error while getting ajax response... check logs for more informations","Błąd przy odopwiedzi AJAX... sprawdź logi aby uzyskać więcej informacji"
"404 redirects","Przekirowania 404"
"404 database logs","Logi 404"
"Redirect Type:","Rodzaj przekierowania"
"Request Path","Ścieżka zapytania"
"Request Path:","Ścieżka zapytania:"
"Target Path","Ścieżka docelowa"
"Target Path:","Ścieżka docelowa:"
"Product ID","ID produktu"
"Category ID","ID kategorii"
"Store Name:","Nazwa sklepu:"
"Store Name","Nazwa sklepu"
"Delete","Usuń"
"Are you sure?","Czy jesteś pewien/pewna?"
"Save 404 redirect","Zapisz przekierowanie 404"
"Redirect edit","Edytuj przekierowanie"
"New redirect","Nowe przekierowanie"
"Enter / edit 404 redirect informations","Podaj infomracje dla przekierowania"Select redirect type:
"use only for custom redirects","wykorzystywane tylko dla własnych przekierowań"Select redirect type:
"everything that comes after slash /","ścieżka, która wpisywana jest po ukośniku /"
"Log Id","Id logu"
"Product redirect - enter product ID for selected store <br/>Category redirect - enter category ID for selected store <br/>Custom redirect - enter target path for redirect","Przekierowanie produktu - podaj ID produktu dla wybranego sklepu <br/>Przekierowanie kategorii - podaj ID kategorii dla wybranego sklepu<br/>Własne przekierowanie - podaj ścieżkę źródłową i ścieżkę docelową"
"404 Url address","Adres błędu 404"
"HTTP referrer:","Źródło odwiedzin:"
"Ip Address:","Adres IP"
"User Agent:","Informacje o przeglądarce"
"Log Time","Data zalogowania błędu"
"Log Count","Ilość wystąpień błędu"
"Action","Akcja"
"Add redirect","Ustaw przekierowanie"
"Record does not exists","Rekord nie istnieje"
"404 Redirect Saved.", "Zapisano przekierowanie dla błędu 404"
"404 logs","Błędy 404"
"404 redirects","Przekierowania błędów 404"
"Log 404 grid","Tabela logów 404"
"Redirect 404 grid","Tabela przekierowań 404"
"Log 404 system configuration","Konfiguracja modułu przekierowań"
"404 Tools","Narzędzia obsługi błedów 404"
"404 log options","Opcje konfiguractyjne dla obsługi błędów 404"
"Save all 404 logs to:","Zapisuj błędy 404 do:"
"Select where 404 log informations should be stored","Wybierz gdzie mają być zapisywane błędy 404"
"Save log if HTTP_REFERER is empty:","Zapisuj błędy 404 jeśli adres źródłowy jest pusty"
"System redirect if product or a category is not found / is not active","Domyślne przekierowanie jeśli produkt / kategoria nie istnieje / nie jest aktywny(a)"
"Path used if a product / category were deleted, after /","Ścieżka docelowa dla usuniętych produktów / kategorii"
"Path used if a product / category were deleted / disabled","Ścieżka docelowa dla produktów / kategorii, które zostały usunięte / wyłączone"
"Group database records","Grupuj rekordy i pokaż łączną liczbę zgłoszonych błędów 404"
"If selected, all 404 logs will be grouped and an icon will be shown if a redirect is created for this particular 404 address","Jeśli tak, wszystkie zalogowane błędy 404 bedą pogrupowane i wyświetlone z łączną liczbą błędów"
"Database + Log file","Baza danych + plik logów"
"Log file","Plik logów"
"Product redirect","Przekierowanie dla produktu"
"Category redirect","Przekierowanie dla kategorii"
"Custom redirect","Własne przekierowanie"
"Create redirect for 404 error:","Ustaw przekierowanie dla błędu 404:"
"Select redirect type:","Wybierz rodzaj przekierowania"